ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,OmsEngels,OmsFrans,Unnamed: 7,Unnamed: 8,A5 ARTIKELTYPE,Synoniem,Unnamed: 11,Unnamed: 12
225693,Diversen,,DECO,HURRICANE LIGHT H38XD25CM RATAN BROWN,HURRICANE LIGHT H38XD25CM RATAN BROWN, ,0.6399811483244743,0.0015354054349304702,,,,
288924,Diversen,,DECO,VAAS NO3 RD DEBBIE ZWART 15X15X21.5CM,VASE NO3 RD DEBBIE BLACK 15X15X21.5CM,VASE NO3 RD DEBBIE NOIR 15X15X21.5CM,0.22190090599492462,0.003165328564669334,,,,
216725,Diversen,,DECO,ALISON PLAKPAPIER 2 X 500 CM LINT,ALISON ADH PAPER 2 X 500 CM RIBBON, ,0.23519620897030746,0.0032163180433685268,,,,
225739,Diversen,,DECO,TABLE L20XB20XH15.5CM WOOD L.GREEN,TABLE L20XB20XH15.5CM WOOD L.GREEN, ,0.08103579192244159,0.0038071050797019446,,,,
278207,Diversen,,DECO,WANDPLANK W/SPIEGEL ASCONA 100X18X44CM ZWART,WALL SHELF W/MIRROR ASCONA 100X18X44CM BLACK, ,0.26399710962171596,0.00495268421566708,,,,
225711,Diversen,,DECO,SCULPTURE L16.5XB7XH33CM MDF BROWN,SCULPTURE L16.5XB7XH33CM MDF BROWN, ,0.18927793940459525,0.006062182588779108,,,,
298183,Diversen,,DECO,FLES RO MARYLOU L 32X32X25CM ROOD,BOTTLE RD MARYLOU L RED32X32X25CM RED,BOUTEILLE RD MARYLOU L 32X32X25CM ROUGE,0.7024764056100244,0.00789266358348073,,,,
259588,Diversen,,DECO,FISH W HANGER 3X40X26CM DRIFTWOOD NATURAL,FISH W HANGER 3X40X26CM DRIFTWOOD NATURAL, ,0.10448383236166603,0.008601642304250645,,,,
225801,Diversen,,DECO,VASE H15.5XD11CM CERAMIC GREY,VASE H15.5XD11CM CERAMIC GREY, ,0.4808802837170948,0.008671746344622422,,,,
280244,Diversen,,DECO,MAND RD ROSITA S CRÈME,BASKET RD ROSITA S CRÈME,PANIER RD ROSITA S CREME,0.3371770780382005,0.010471174505325753,,,,
225777,Diversen,,DECO,MIRROR D20.5CM MIRROR GLASS BLACK,MIRROR D20.5CM MIRROR GLASS BLACK, ,0.5117192737706487,0.011196623610392642,,,,
233497,Tegels,Keramische tegels,DECO STENEN,MOZAIEK TEGEL 29.4X29.4X0.8CM COINSTONE GRS,MOSAIC TILE 29.4X29.4X0.8CM COINSTONE GREY, ,0.43757608947920124,0.006592733537419959,,,,
123318,Verf en behang,Decoratie,DECORATIE,HOME INT RA 12403 GIFT BOX WALL CLOCK SWEETS * 6, , ,0.15448167879402974,0.001302001484775439,,,,
136682,Tuin,Tuindecoratie,DECORPOTTEN,ELHO PURE SOFT ROUND LIGHT 40 CM TRANSPARANT-100, , ,0.9086562685546797,0.005047080128012804,,,,
136668,Tuin,Tuindecoratie,DECORPOTTEN,ELHO PURE SOFT OVAL 60 CM WIT-150, , ,0.9840458279786473,0.005335957143895009,,,,
181218,Tuin,Tuindecoratie,DECORPOTTEN,ELHO GB EASY HANGER S 235-KERS, , ,0.43511960746341294,0.006470884789741116,,,,
214727,Diversen,,DEKBEDOVERTREKKEN,DEKBEDOVERTREK 240X220CM KLOK WIT,DUVET SET 240X220CM CLOCKS WHITE,HOUSSE DE COUETTE CLOCHETTES 240X220CM BLANC,0.4593195562614718,0.0024488053117444064,,,,
295161,Diversen,,DEUR,OUTW SINGLE CASEM DOOR W/GLASS H2032XW914.4MM OPEN L ALU,OUTW SINGLE CASEM DOOR W/GLASS H2032XW914.4MM OPEN L ALU, ,0.8516735534244896,0.0006967610814609948,,,,
286770,Hout- en bouwmaterialen,Deuren en ramen,DEUREN,"PVC DOOR LB009 36""X80""X1.57"" MOISTURE RESISTANT MDF H2014","PVC DOOR LB009 36""X80""X1.57"" MOISTURE RESISTANT MDF H2014", ,0.984326808065931,0.010269057783067415,,,,
222029,Ijzerwaren,Bouwbeslag,DEUROPENER,DEUROPENER GRIJS,DOOR OPENER GREY, ,0.2946008533677883,0.011643705169723684,,,,
232277,Diversen,,DIERBENODIGDHEDEN,GEOR WELKOM - STARTERKIT VOOR KITTEN,GEOR WELCOME - STARTER KIT FOR KITTEN,GEOR WELCOME - STARTER KIT FOR KITTEN,0.5279728289060569,0.003922814844817157,,,,
125486,Diversen,,DIERENBENODIGDHEDEN,LIFETIME HONDENRIEM OPROLBAAR 3M 4ASS KLEUR,LIFETIME DOG LEASH RETRACTABLE 3M 4ASS CLRS,LIFETIME LAISSE POUR CHIEN 3M EXTENSIBLE 4 COULEURS,0.46180587049894484,0.0007170652484046469,,,,
211328,Diversen,,DIERENBENODIGDHEDEN,HONDENSPEELBAL 9CM 8ASS VN, ,JOUET BALLE POUR CHIEN 9CM VYNILE,0.8651624006391778,0.004747835391263,,,,
137442,Ijzerwaren,Hang- en sluitwerk,DISCUSSLOTEN,DULIMEX KD CIL HANGSLOT Ø 25MM BEP VERSCH SLUITEND BP925BKD, , ,0.21301397300756297,0.008333977495390776,,,,
180216,Diversen,,DISPLAY,TAARTRAND 28CM 2ASS SET6, , ,0.37220671872583644,0.006521883880028945,,,,
112052,Huishoud,Schoonmaakattributen,DISPLAYDOOS,SORBO DISPLAY DOOS LEEG TBV 16 ST QUICK&EASY, , ,0.2773013657738731,0.005460251063387878,,,,
177860,Diversen,,DIVERS,WANDDECORATIE GLAS 30X30CM 4ASS, ,DECORATION MURALE VERRE 30X30CM 4 ASS,0.11942984022246217,1.6073106525849035e-05,,,,
196906,Diversen,,DIVERS,TAFELLOPER PRINT 150 X 40 CM 2 ASS,TABLE RUNNER PRINT 150 X 40 CM 2 ASS, ,0.5654186138365136,0.0004291105927467509,,,,
172032,Diversen,,DIVERS,HAKBIJL VAAS FIONA DISPLAY ASSORTI,HAKBIJL VASE FIONA DISPLAY ASSORTED, ,0.9750167890796467,0.00047833463852420266,,,,
149245,Huishoud,Overigen huishoud,DIVERS,THEELICHTHOUDER VLINDER 6 KLEUREN,TEALIGHTHOLDER BUTTERFLY 6 COLOURS,LANTERNE PAPILLON 6 COULEURS,0.35943530528518985,0.000558131763444325,,,,
173401,Diversen,,DIVERS,DECORATIE VORMEN 2CM ZILVER 6ASS,DECORATION SHAPES 2CM SILVER 6ASS, ,0.9477303362929661,0.0006216801289740115,,,,
319446,Diversen,,DIVERS,PANDA POTTY TRAINER PINK,PANDA POTTY TRAINER PINK,PANDA ADAPTATEUR TOILETTE ENFANT ROSE,0.3031909869090056,0.0006408384912012233,,,,
187469,Diversen,,DIVERS,VLEESMES 20 CM RVS,MEAT KNIFE 20 CM SS, ,0.6014923002000916,0.0006589167589079459,,,,
172052,Diversen,,DIVERS,HAKBIJL CONNER H= 9 CM D= 10 CM GRIJS,HAKBIJL CONNER H= 9 CM D= 10 CM GREY, ,0.96456041948297,0.0006859973365815897,,,,
252002,Diversen,,DIVERS,KERSTBAL SET 44ST JOLLY,XMAS BALL SET 44PCS JOLLY, ,0.7596407156311038,0.0007268221971048483,,,,
181935,Diversen,,DIVERS,PS WIMPELGUIRLANDE 4 M FOLIE, , ,0.665511419065901,0.0007635913738995859,,,,
198670,Diversen,,DIVERS,HANGER REINDEER 13CM 4 ASS BROWN,HANGER REINDEER 13CM 4 ASS BROWN, ,0.47444805560959724,0.0007985524208423689,,,,
150086,Diversen,Kerstartikelen,DIVERS,THEELICHT LED 4ST, ,BOUGIE CHAUFFE PLAT LED 4PCS,0.1623128521775633,0.0009204695257206685,,,,
42165,Auto,Auto-onderhoudsprodukten,DIVERS,MT GLAS REINIGER FLES 500ML,MT GLASS CLEANER BOTTLE 500ML,MT NETTOYANT VITRES FLACON 500 ML,0.9742329916062115,0.0010004260359420813,,,,
243397,Diversen,,DIVERS,45CM FLEXIBLE WALL BRUSH WITH END CAPS (PP),45CM FLEXIBLE WALL BRUSH WITH END CAPS (PP),BALAI PISCINE MURALE FLEXIBLE AVEC CLIPS45CM PP,0.25699703870986124,0.001165256868083997,,,,
150276,Diversen,,DIVERS,XMAS KERSTSTRIK 12DLG,XMAS BOW SET12, ,0.40430381296202356,0.0011843028593405691,,,,
163026,Diversen,,DIVERS,SOLARLAMP LED 36.5CM, ,LAMPE SOLAIRE LED 36.5CM,0.9086560350969105,0.0012470211538028186,,,,
217242,Diversen,,DIVERS,OPBERGDOOS 50X40x22CM 2ASS KLEUR, , ,0.12837839479446866,0.0012942590657614161,,,,
192161,Diversen,,divers,AMAZON SOLAR SHOWER W/ 35L / 9 GAL CAPACITY,AMAZON SOLAR SHOWER W/ 35L / 9 GAL CAPACITY,AMAZON DOUCHE SOLAIRE CAPACITÉ DE 35 LITRES/9GAL,0.22795602726052477,0.0013381728048179609,,,,
144439,Tuin,Tuindecoratie,DIVERS,HARMS CANVASDOEK 50 X 100 CM, , ,0.8992357892123662,0.0013933319854364523,,,,
232119,Verlichting,,DIVERS,FAEDO3 LED WANDLAMP 20W ALU WIT,FAEDO3 LED WALL LAMP 20W ALU WHITE, ,0.18399812902657597,0.0014195071550169303,,,,
236323,Diversen,,DIVERS,SCHAAL 24X7CM WIT PORSELEIN, , ,0.4091855740593351,0.001459109158629679,,,,
198754,Diversen,,DIVERS,LBN XMAS SPRAY 5X19X67CM GLITTER WHITE,LBN XMAS SPRAY 5X19X67CM GLITTER WHITE, ,0.40714703102766203,0.0015028394913397802,,,,
294802,Diversen,,DIVERS,EVOLUTION FLEXIBLE VACUUM HEAD 34X16CM (PURPLE/BLUE),EVOLUTION FLEXIBLE VACUUM HEAD 34X16CM (PURPLE/BLUE),TÊTE D'ASPIRATEUR FLEXIBLE EVOLUTION 34X16CM (VIOLET/BLEU),0.7675112606590812,0.0017184766396637352,,,,
197969,Diversen,,DIVERS,HURRICANE LIGHT 5 LED H15XD13CM BLUE,HURRICANE LIGHT 5 LED H15XD13CM BLUE, ,0.03163178737440131,0.0017884634705617186,,,,
209677,Diversen,,DIVERS,FLEECE DEKEN ROOD 125X150CM, ,PLAID POLAIRE ROUGE 125X150CM,0.7286206544380353,0.0018531132663412997,,,,
177998,Diversen,,DIVERS,LAVENDEL IN VAAS 2ASS, , ,0.7916893979345734,0.002281380510438691,,,,
172408,Diversen,,DIVERS,BLOEMPOT STAPELBAAR 44 X 20 CM ZWART/WIT,FLOWERPOT STACKABLE 44 X 20 CM BLACK/WHITE, ,0.4485457707039441,0.0023730696909347593,,,,
150278,Diversen,,DIVERS,DECORATION HA LARGE 4 ASS,DECORATION HA LARGE 4 ASS, ,0.727954567891492,0.002538091630497563,,,,
24491,Huishoud,,DIVERS,KERSTBOOM 25CM 16LED WIT,XMASTREE 25CM 16LED WHITE,ARBRE ACRYLIQUE 25CM 16 LED BL,0.23606094532109823,0.002703845873651245,,,,
196890,Diversen,,DIVERS,ONDERBORD 23 CM GEHAMERD,UNDERPLATE 23 CM HAMMERED, ,0.1511437129930785,0.0027360172410444417,,,,
219549,Diversen,,DIVERS,KUSSEN ADAMO MET PASPEL 60 X 60 CM BRUIN,CUSHION ADAMO WITH PIPING 60 X 60 CM BROWN, ,0.1064628734262607,0.0029449984562149867,,,,
254868,Gereedschappen,Handgereedschappen niet-elektrisch,DIVERS,HOTECHE FLAT FILE 200MM STEEL,HOTECHE FLAT FILE 200MM STEEL,HOTECHE LIME PLAT 200MM EN ACIER,0.5517552073153904,0.002977043871844609,,,,
148250,Tweewielers,Overigen tweewielers,DIVERS,MT FIETS KETTING REINIGER 400ML GEL,MT CYCLE CHAIN CLEANER 400ML GEL,MT VELO GEL DE NETTOYAGE CHAINE AEROSOL 400 ML,0.9397708823481867,0.003062939407099341,,,,
194409,Diversen,,DIVERS,KOPERDRAAD 80LED WARM WIT BINNEN,COPPERWIRE 80LED WARM WHITE INDOOR, ,0.7034914723207374,0.003084820441038638,,,,
251913,Diversen,,DIVERS,BEKER 350ML PORSELEIN,MUG 350ML PORCELAIN, ,0.6696906175487733,0.0032489626909142366,,,,
122100,Huishoud,Overigen huishoud,DIVERS,SCHUIMSPAAN RVS GRIJS,SKIMMER SPOON STAINLESS GREY, ,0.20921746430173815,0.0032852203344737596,,,,
141603,Diversen,Kerstartikelen,DIVERS,XMAS KERSTSTRIK 5CM SET18 ROOD,XMAS BOW 5CM SET18 RED, ,0.27853654119288684,0.003333868050219735,,,,
229728,Diversen,,DIVERS,KAARS STOMP 6.0X6.0CM 5ST,PILLAR CANDLE 6.0X6.0CM 5PC, ,0.48434802461508597,0.003432349345345642,,,,
319470,Diversen,,DIVERS,DUSTPAN SET WITH HANDLES BLUE,DUSTPAN SET WITH HANDLES BLUE,PELLE ET BALAI AVEC POIGNEES BLEU,0.7483349039261309,0.003497457869990561,,,,
144324,Tuin,Overigen tuin,DIVERS,"HARMS ZUIL ""CHRISTOS"" Ø 29 X 69 CM KERAMIEK", , ,0.9366792335198719,0.0035159771645824067,,,,
247215,Diversen,,DIVERS,POMPONS 24 ST D1.5CM MF,POM-POMS 24PCS D1.5CM MF, ,0.04368091266110308,0.003646124430738751,,,,
198572,Diversen,,DIVERS,THEELICHTHOUDER FROSTED 2 ASS WIT GLAS, , ,0.4902089430020683,0.0038631430504489916,,,,
225033,Huishoud,Overigen huishoud,DIVERS,OPBERGNET 3 VAKKEN 3 KLEUREN ASS,STORAGE NET 3 COMPARTMENTS 3 COLOURS ASS, ,0.8995474637304767,0.00395632011414182,,,,
172579,Diversen,,DIVERS,PADDESTOEL MET 2 VOGELS 2ASS,MUSHROOM CERAMIC WITH BIRD, ,0.5076661304817826,0.0043254348813407395,,,,
171694,Diversen,,DIVERS,ZEEPHOUDER MET ZUIGNAP 4 KLEUR ASS,SOAP HOLDER WHITEH SUCTION CUP 4ASS CLR, ,0.9320145898144574,0.004396246138088311,,,,
236492,Diversen,,DIVERS,OPBERGBLIK MET VENSTER, , ,0.7744728899071577,0.004419358214692637,,,,
202302,Auto,Auto-onderhoudsprodukten,DIVERS,MT PTFE VET 500ML,MT PTFE GREASE 500ML,MT GRAISSE BLANCHE 500 ML,0.5887138176658454,0.00446995880924983,,,,
155307,Diversen,,DIVERS,NNICE OLIEBAL Ø 19 CM TERRAZZO WIT, , ,0.03408844905029229,0.004566148477401444,,,,
268768,Diversen,Kerstartikelen,DIVERS,STAR W HANGER 41X39X0.4CM PLASTIC GOLD,STAR W HANGER 41X39X0.4CM PLASTIC GOLD, ,0.5213519696008917,0.004805159568937456,,,,
98152,Huishoud,Overigen huishoud,DIVERS,KEUKENMESJE 5 STUKS 5ASS KLEUR, , ,0.8230004613067405,0.004824679751063821,,,,
250129,Gereedschappen,Handgereedschappen niet-elektrisch,DIVERS,HOTECHE STATIONERY SCISSORS 200MM STAINLESS STEEL,HOTECHE STATIONERY SCISSORS 200MM STAINLESS STEEL,HOTECHE CISEAUX A PAPETERIE 200MM ACIER INOXIDABLE,0.8325321022388886,0.004841674468692991,,,,
186062,Huishoud,Overigen huishoud,DIVERS,KINZO KINDER TUINSET 3ST, ,KINZO KIT DE JARDINAGE ENFANT 3PCE,0.7891139722911779,0.004918213706632701,,,,
309999,Diversen,,DIVERS,MT FIETS SCHIJFREMCONDITIONER SPRAY 400ML GRIJS,MT CYCLING DISC BRAKE CONDITIONER SPRAY 400ML GREY, ,0.5113016599974611,0.0049390962916346925,,,,
173595,Diversen,,DIVERS,TAFELKLEED 140X240CM,TABLECLOTH 140X240CM, ,0.7980851157129624,0.005006525419156471,,,,
144978,Huishoud,Overigen huishoud,DIVERS,PEPERMOLEN 4ASS SWEET CANDY KL, ,MOULIN DE POIVRE 4ASS,0.17271051757250688,0.005298447035826159,,,,
131644,Huishoud,Overigen huishoud,DIVERS,WIJNGLAS SET A 3 STUKS PLASTIC, , ,0.39715530367810825,0.005509636880252189,,,,
155415,Diversen,,DIVERS,LUCHTVERFRIS CITRUS AIRWICK, ,DESODORISANT CITRUS AIRWICK,0.6784724983936843,0.005516490408095764,,,,
171879,Diversen,,DIVERS,SCHOOLBORD 57X55X101CM & WHITEBOARD HOUT,BLACKBOARD 57X55X101CM& WHITEBOARD WOOD,TABLEAU NOIR 57X55X101CM ET BLANC BOIS,0.8021167900211871,0.005544769799004867,,,,
168178,Gereedschappen,Handgereedschappen niet-elektrisch,DIVERS,KINZO VERFSPUITPISTOOL 500CC 3-4BAR,KINZO PAINT SPRAY GUN 500CC 3-4BAR,KINZO PISTOLET A PEINTURE 500CC 3-4BARRE,0.43142528076960207,0.005691625104767617,,,,
266543,Huishoud,,DIVERS,DOUBLE-BOTTOM GLASS JAR 500CC RED LID,DOUBLE-BOTTOM GLASS JAR 500CC RED LID,POT DOUBLE-FOND 500CC COUVERCLE ROUGE,0.6527506304794901,0.005721703970408054,,,,
125681,Diversen,,DIVERS,AUTO VERFRISSER VANILLE,DEO-CAR VANILLA, ,0.6250719645708187,0.005781164079287637,,,,
212492,Diversen,,DIVERS,KRUK BATIK 30X42CM WD 2200GR,STOOL BATIK 30X42CM WD 2200GR, ,0.8318939232522533,0.005784951496425217,,,,
252224,Huishoud,,DIVERS,KERSTBOOM 150 CM GROEN,CHRISTMAS TREE 150 CM GREEN, ,0.372501052903077,0.005787962678028946,,,,
236972,Diversen,,DIVERS,KOM SVEA 120MM,BOWL SVEA 120MM, ,0.6578277039777528,0.005823836146471528,,,,
165839,Diversen,,DIVERS,VM DERLON CREMESPOELING EXTRA CARE 500ML,VM DERLON CONDITIONER EXTRA CARE 500ML, ,0.3234034841557557,0.006036973182427685,,,,
172067,Diversen,,DIVERS,HAKBIJL VAAS FER H= 20 CM D= 12.5 CM,HAKBIJL VASE FER H= 20 CM D= 12.5 CM, ,0.2582292178291833,0.00603839974448539,,,,
196093,Diversen,,DIVERS,BALKON SET 2 X DERBY EN ARNO, , ,0.8802182020858086,0.006168171982761317,,,,
227018,Elektra,Overigen elektra,DIVERS,SCHOEPENROOSTER Ø150MM RVS,LOUVRED GRILL Ø150MM S/S, ,0.26558146435965957,0.006219163971828312,,,,
212435,Huishoud,Keukengerei,DIVERS,CUIS-ELEG VERGIET D15CM 2 PIECES PP,CUIS-ELEG COLANDER D15CM 2 PIECES PP,CUIS-ELEG PASSOIRE D15CM SET2 PP,0.033861482413145794,0.006220698011020098,,,,
172581,Diversen,,DIVERS,UIL KERAMIEK 19CM 2ASS,OWL CERAMIC 19 CM 2ASS, ,0.26119892177492765,0.006326693510630976,,,,
191088,Diversen,,DIVERS,SPIEGEL DUBBELZIJDIG 4 KLEUREN ASS,MIRROR DOUBLDE SIDED 4 COLOURS ASS, ,0.7258278224803273,0.006577396656509249,,,,
187414,Diversen,,DIVERS,WANDKLOK ALU 30 CM 2 KLEUREN ASS,WALL CLOCK ALU 30 CM 2 COLOURS ASS, ,0.23839225003953235,0.00669510957556374,,,,
193850,Diversen,,DIVERS,DJA BEDRUKTE HANDDOEK BLAUW 400GR/M2 70X140CM, ,DJA SERVIETTE PERSONALISÉE BLEU 400G/M2 70X140CM,0.6896071206414668,0.006710648812633391,,,,
236444,Diversen,,DIVERS,SNIJPLANK 365 X 225 MM 3 DESIGN ASS, ,PLANCHE A DECOUPER 365X225MM 3ASS,0.8872844153741295,0.006720871234219605,,,,
197182,Diversen,,DIVERS,HANGLAMP 25 CM ZWART E27 4 ASS,HANGING LAMP 25 CM BLACK E27 4 ASS, ,0.6581184497777383,0.0067896922660141135,,,,
177985,Diversen,,DIVERS,DEURBEL GIETIJZER BLOEM, , ,0.16306689477162228,0.006859156256383225,,,,
198664,Diversen,,DIVERS,THEELICHTHOUDER 9X12CM PAULOWNIASCHORS NATUREL, , ,0.8696548359098305,0.006954429463948419,,,,
138309,Huishoud,Overigen huishoud,DIVERS,MAND OPVOUWBAAR 38X40CM 2ASS KLEUR, , ,0.11988256494565985,0.006977164407270253,,,,
259505,Diversen,,DIVERS,KOELELEMENT SET A 3 ST 3 KLEUREN ASS, , ,0.41610983957307357,0.006989762439875036,,,,
181115,Stationary,,DIVERS,TOPWRITE VILTSTIFTEN 50ST,TOPWRITE FELT-PENS 50PCS,TOPWRITE FEUTRES 50PCE,0.1127987806960592,0.006992497270248532,,,,
186723,Diversen,,DIVERS,HANGMAT REIS 200X100CM 2 ASS, , ,0.08346962564786098,0.00703979286774592,,,,
159180,Diversen,,DIVERS,STRANDSPEELGOED 6 DELIG 4 KLEUREN ASSORTI, , ,0.9349260691395469,0.00722388384021555,,,,
141495,Diversen,,DIVERS,SJOELBAK 120X28CM MET 20 SCHIJVEN, , ,0.4011729804446439,0.007261971921152854,,,,
147473,Diversen,,DIVERS,BUDDHA ZITTEND 25 X 23 X 33 CM GRANIET, , ,0.9886702282343376,0.0074033212529819314,,,,
185822,Diversen,,DIVERS,XMAS KERSTKAARS IN GLAS 4ASS KLEUR, , ,0.030479414446667907,0.007472486951580759,,,,
185537,Diversen,,DIVERS,DECORATIEVE EMMER 28X20X24.5CM 8ASS 4KLR, ,SEAU DECORATIF 28X20X24.5CM 8ASS 4CLRS,0.3353460688406309,0.007509138586906938,,,,
177921,Diversen,,DIVERS,TUINSTOK 10X127CM METAAL,GARDEN PICK 10X127CM METAL, ,0.2829442326628857,0.00764161764435578,,,,
135973,Huishoud,Overigen huishoud,DIVERS,DOUCHEGORDIJN 180X180CM 4 KLEUREN ASSORTI, , ,0.18662572135327016,0.007661690979519631,,,,
237033,Diversen,,DIVERS,PEDAALEMMER 6L BLUE NAVY PP,PEDAL BIN 6L BLUE NAVY PP, ,0.5048753105137864,0.0078031995649716634,,,,
236460,Diversen,,DIVERS,VOUWKRAT 32L MET GREPEN, , ,0.11379506953686636,0.007963384349369829,,,,
172038,Diversen,,DIVERS,HAKBIJL VAAS CONROY H= 30 CM D= 14 CM WILD BERRY,HAKBIJL VASE CONROY H= 30 CM D= 14 CM WILD BERRY, ,0.5538225622876984,0.008014579410348333,,,,
209596,Diversen,,DIVERS,STOELKUSSEN 38X38CM KATOEN DONKER GRIJS,CHAIR CUSHION 38X38CM COTTON DARK GREY,GALETTE CHAISE 38X38CM COTON  GRIS FONCE,0.6483168463884338,0.008104901573189327,,,,
180059,Diversen,,DIVERS,MAT DIDO 57X115CM, ,MAT DIDO 57X115CM,0.9241896408635794,0.00812737135134467,,,,
181155,Diversen,,DIVERS,POT KARL H16XD25CM GREEN,POT KARL H16XD25CM GREEN, ,0.7760920619497756,0.00812822459434237,,,,
141746,Tuin,Tuindecoratie,DIVERS,BUDDHA HOOFD 33 X 32 X 52 CM ANTRACIET/ZWART, , ,0.9994846091009055,0.008155807154740513,,,,
163900,Huishoud,Keukengerei,DIVERS,KOM 2ST 18CM DIAM. 3 ASS,BOWL 2 PCS DIAM 18CM 3 ASS,BOL 2 PCE 18CM DAIM. 3 ASS,0.5836066022150398,0.008174995259969342,,,,
172357,Diversen,,DIVERS,BLOEMPOTHOUDER TRAP VORM,WOODEN FLOWER HOLDER STAIR, ,0.9784197422958874,0.008254766469844355,,,,
179862,Diversen,,DIVERS,RINGGORDIJN PALMERAIE 137X260CM HAZELNOOT, ,RIDEAU ANNEAU PALMERAIE 137X260CM NOISETTE,0.2539079621643978,0.008258969226180524,,,,
194031,Diversen,,divers,VOORRAADPOT GLAS + DEKSEL METAAL,JAR GLASS + LID METAL, ,0.7631734639532527,0.008442715728093964,,,,
196931,Diversen,,DIVERS,KANDELAAR 63 CM,CANDLE HOLDER 63 CM, ,0.15190637892896275,0.008516105919819439,,,,
196945,Diversen,,DIVERS,FOTOLIJST 13 X 18 CM METAAL,PHOTO FRAME 13 X 18 CM METAL, ,0.8726080013543102,0.008673662416199712,,,,
150089,Diversen,Kerstartikelen,DIVERS,KERSTBOOM 80CM 32LED, ,ARBRE DE NOEL 80CM 32LED,0.9145578859311083,0.0087033066316764,,,,
254892,Gereedschappen,Handgereedschappen niet-elektrisch,DIVERS,HOTECHE IMPULSE SPRINKLER WITHE SPIKE PLASTIC,HOTECHE IMPULSE SPRINKLER WITHE SPIKE PLASTIC,HOTECHE ARROSEUR A IMPLUSION AVEC PIQUET EN PLASTIQUE,0.37118430175535055,0.008847658320004892,,,,
191046,Diversen,,DIVERS,KOELTAS STREEP 5 DESIGN ASS,COOLING BAG PCSREEP 5 DESIGN ASS, ,0.8520185822393302,0.009066255577049875,,,,
236363,Diversen,,DIVERS,WANDKLOK 31X4CM 2 KLEUREN ASS ALUMINIUM, , ,0.2563642696236025,0.009174503006427526,,,,
275156,Tuin,Overigen tuin,DIVERS,UBBINK ANTI INSECTEN NET 2.0X5M,UBBINK ANTI INSECT NET 2.0X5M, ,0.009581347212352487,0.009220060751867987,,,,
151654,Diversen,,DIVERS,LANTAARN KERK, , ,0.8448051740242285,0.009282853113486311,,,,
223285,Diversen,,DIVERS,MT MULTI SPRAY 500ML,MT MULTI 500ML,MT MULTISPRAY 500ML,0.8755308166211186,0.00929930476192331,,,,
236440,Diversen,,DIVERS,EIERWEKKER DIGITAAL WIT, , ,0.052335655698153016,0.009317114414766015,,,,
187402,Diversen,,DIVERS,BORD 20CM 4 KLEUREN ASS,PLATE 20CM 4 COLOURS ASS, ,0.9599139504056416,0.009374485957812873,,,,
266157,Gereedschappen,Overigen gereedschappen,DIVERS,HOTECHE AIR BRUSH COMPRESSOR 1/5HP 57PSI 110-120V~50/60Hz,HOTECHE AIR BRUSH COMPRESSOR 1/5HP 57PSI 110-120V~50/60Hz, ,0.5687909705257956,0.009464089841360268,,,,
