ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,L5_ARTIKELTYPE,Synoniem,,
284444,Verlichting,Overigen verlichting,ARMATUREN,BASALGO 1 LED TUINLAMP SOKKEL OD 3.7W IP44 RVS,Sokkel - buiten,,,
251817,Verlichting,Interieurverlichting,ARMATUREN,POLIENTO SOKKELLAMP 1X40W E27 RVS WIT,Sokkel - buiten,,,
232135,Verlichting,Interieurverlichting,ARMATUREN,FUEVA1 LED INBOUW 1X5.5W 700LM MET WIT,Inbouwspot,,,
290128,Verlichting,Overigen verlichting,ARMATUREN,CALEX SMART OUTDOOR TUINSPOT,Tuinspot,,,
30894,Verlichting,Interieurverlichting,ARMATUREN,CORODEX KABELARMATUUR 60W GRIJS,Wand en plafondlamp,Wand en plafondlamp - buiten,Kabelarmatuur,
40436,Verlichting,Interieurverlichting,ARMATUREN,MARS WANDLAMP 1 X 60W E27 WIT GLAS MAT,Wandlamp,,,
216644,Auto,,AUTO ACCESSOIRES,MOTOROLIE 1L 5W-40,Motorolie 5W40,Motorolie 5W-40,,
211603,Sanitair,Baden en douchebakken,BADEN,BERTHIN MASSAGE CORNER BATHTUB 1380X1380X610MM ACRYL BLACK,Hoekbad,,,
147038,Sanitair,Badkameraccessoires,BADK ACCESSOIRES,HACEKA KOSMOS TEC HANDDOEKHOUDER 60 CM DUBBEL RVS,Handdoekrek,Handdoekhouder,,
219106,Diversen,,BADK ACCESSOIRES,DOUCHGORDIJN 180X200 CM ROOD,Douchegordijn,,,
209941,Huishoud,Overigen huishoud,BADKAMER,SK TOILETBORSTEL BLOOM ROOD,Toiletborstel,WC borstel,WC garnituur,Closetborstel
324244,Sanitair,Badkameraccessoires,BADKAMER,LUSSO NERO PAPER HOLDER,Toiletrolhouder,WC rolhouder,Closetrolhouder,
104792,Sanitair,Badkameraccessoires,BADKAMER ACC,UNIVERSUM WANDGREEP 305/420 MM BAD LS RVS,Badgreep,Wandgreep,Wandbeugel,
179624,Diversen,,BADKAMER ACCESSOIRES,WIEROOKHOUDER 26 X 3.5 CM IVOOR,Wierookhouder,,,
103814,Sanitair,Badkameraccessoires,BADKAMER ACCESSOIRES,TOILETBORSTEL MET HOUDER KL-71813,Toiletborstelhouder,WC borstel,WC garnituur,Closetborstel
213743,Sanitair,Badkameraccessoires,BADKAMER ACCESSOIRES,WENKO TERRY DOUCHEMAT 50X70CM PARADISE ZWART,Planchet,Badkamerplank,,
191597,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,TYM ZEN PEDAALEMMER 8L VIERK WIT,Douchemat,,,
328288,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,DOUCHEGORDIJN GARDENA 180X200CM POLYESTER,Pedaalemmer,,,
183177,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,WENKO TELESCOPISCH DOUCHEREK COMPACT PREMIUM,Doucherek,Badrek,,
171099,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,WENKO NOBLE SET WC BORSTELS ZWART,Toiletborstel,WC borstel,WC garnituur,Closetborstel
236607,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,WENKO KLEERHANGER EASY SET10 GRIJS ZWART WIT,Kledinghanger,Kleerhanger,,
262612,Diversen,,BADKAMERACCESSOIRES,TOILETBORSTEL + OPKLAPBAAR DEKSEL WIT,Toiletborstel,WC borstel,WC garnituur,Closetborstel
274524,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,TOILETMAT MICROVEZEL 50X50 CM GROENBLAUW,Toiletmat,,,
322239,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,DOUCHEGORDIJN MET RINGEN 180X200CM OKER/ZWART,Douchegordijn,,,
222459,Diversen,,BADKAMERACCESSOIRES,WENKO PURO TOILETBORSTELHOUDER ANTRACIET,Toiletborstel,WC borstel,WC garnituur,Closetborstel
259029,Diversen,,BADKAMERACCESSOIRES,ZEEPSCHAAL OVAAL DOLOMITE ZWART,Zeepschaal,,,
304035,Sanitair,,BADKAMERACCESSOIRES,HACEKA IXI RESERVEROLHOUDER GEBORSTELD RVS,Reserverolhouder,,,
259002,Diversen,,BADKAMERACCESSOIRES,BADMAT RECHTH GATEN 60X38CM TRANSPARANT,Badmat,,,
236711,Sanitair,,BADKAMERACCESSOIRES,BATH SHELF 5MM 25X12X58CM CHR GREY,Doucherek,Badrek,,
183202,Sanitair,Badkameraccessoires,BADKAMERACCESSOIRES,WENKO WC-GARNITUUR BASIC WIT,Toiletborstel,WC borstel,WC garnituur,Closetborstel
316204,Sanitair,Bad- en toiletmeubelen,BADKAMERMEUBEL,BT BATHROOM DBL CABINET LYANNA 1000X470X315MM PVC HG GREY,Wastafelkast,,,
220820,Sanitair,Bad- en toiletmeubelen,BADKAMERMEUBELEN,STRIPE ONDERKAST 120 CM 1LADE SOFT MDF WIT,Onderkast,,,
73291,Sanitair,Bad- en toiletmeubelen,BADKAMERMEUBELEN,BINGO BADMEUBEL 50 CM COMPLEET WIT,Wastafelkast,,,
9030,Sanitair,Badkameraccessoires,BADMATTEN,SK BADMAT COTTON NOVA 60 X 90 CM ROOD/BLAUW,Badmat,,,
72378,Sanitair,Badkameraccessoires,BADMATTEN,SK BADMAT WATER 60 X 100 CM BLAUW,Badmat,,,
199558,Sanitair,Bad- en toiletmeubelen,BADMEUBEL,ALGARVE KAST 98 X 48 X 32 CM MDF MET GEKLEURDE LADEN,Wastafelkast,,,
239236,"Ijzer, staal en non-ferro",Overigen ijzer/staal/NF,BALKEN STAAL,BALKIJZER HEB 140 ZWART,H-profiel,Balkijzer,,
94735,"Ijzer, staal en non-ferro",Overigen ijzer/staal/NF,BALKEN STAAL,BALKIJZER HEB 260 ZWART,H-profiel,Balkijzer,,
145697,Huishoud,Overigen huishoud,BARBECUE,GRILL MESH CHROME PLATED STEEL 32X19CM,Grill rooster,Grilrooster,,
145696,Huishoud,Overigen huishoud,BARBECUE,EUROSPEC KETTLE BBQ 3 LEGS,Houtskool barbecue,BBQ,,
245420,Diversen,,BAZAAR,FLOOR MAT 100X70CM,Vloermat,,,
138558,Huishoud,Overigen huishoud,BBQ,BBQ GEREEDSCHAP SET 3-DLG,Barbecue kookgerei,,,
215352,Huishoud,Schoonmaakattributen,BEAUTY,BEAUTY HANDBORSTEL HOUT,Borstel - Huishoud,,,
10575,(DHZ) Meubelen,Meubelen,BEDDEN,HAFO STAPELBED JIP & JANNEKE 90 X 200 CM BLANK GELAKT,Bed,,,
74879,Sanitair,Wastafels en toiletten,BEDIENINGSPANELEN,WISA BED PANEEL ARGOS DF PERG EXC/XS,Bedieningspaneel,,,
119491,Huishoud,Overigen huishoud,BEDTEXTIEL,TEN CATE BASIC BOVENLAKEN 240 X 260 CM OFF WHITE,Laken,,,
289017,Diversen,,BEHANG,G&B BEHANG KAYA GROEN,Behang,,,
191801,Diversen,,BEHANG,G&B SKIN FUR SAND,Behang,,,
183900,Verf en behang,Behang,BEHANG,G&B WOODY GREY (SLOOPHOUT),Behang,,,
272883,Diversen,,BEHANG,G&B BEHANG AMAZON,Behang,,,
136501,Gereedschappen,Handgereedschap elektrisch,BEITELS,GRAPHITE HEX PUNT BEITEL 30MM / 400MM,Beitel - Electrisch,,,
122425,Huishoud,Keukengerei,BESTEK,CT PEARL TAFELMES 3.8MM SET3 RVS,Bestekmes,Tafelmes,Eetmes,
51399,Huishoud,Keukengerei,BESTEK,BESTEKSET AAN STANDAARD BLAUW/CHROOM 24 DLG,Bestekset,,,
96812,Huishoud,Keukengerei,BESTEK,AMEFA VENTURA MAT TAFELVORK SET 12,Bestekvork,Tafelvork,Eetvork,
70179,Gereedschappen,Overigen gereedschappen,BETONBOOR,FERMAX PROFI BETONBOOR DIN 8039 6 MM L=400 MM,Betonboor,,,
133491,Ijzerwaren,Overigen ijzerwaren,BEUGELS,FLAMCO MONTAGEBAND 19 MM GEPLASTIF VERZINKT ROL 10 M,Spijkerband,Montageband,Montagestrip,
166118,Ijzerwaren,Bevestigingsmaterialen,bevestigingsmat,CNX VEERRING GROWER VZ 12MM 30ST,Veerring,,,
166258,Ijzerwaren,Bevestigingsmaterialen,bevestigingsmat,CNX DUIMSPIJKER GEKLEURD MS 100ST,Punaise,Duimspijker,,
166070,Ijzerwaren,Bevestigingsmaterialen,bevestigingsmat,CNX METAALSCHROEF VZ-K VZ M6X80 25ST,Metaalschroef,,,
166114,Ijzerwaren,Bevestigingsmaterialen,bevestigingsmat,CNX BOUWSLUITRING VZ 13.5X40X40X4 15ST,Sluitring,Bouwsluitring,,
309149,Tuin,Overigen tuin,BEWATERING,GFG PORTABLE KIT MINI CONCEPT PLUS,Tuinslang,,,
154144,Tuin,Tuingereedschap niet-elektrisch,BEWATERING,"CF KOPPELSTUK BINNENDRAAD 1/2"" BLISTER",Koppelstuk - Bewatering,,,
154147,Tuin,Tuingereedschap niet-elektrisch,BEWATERING,CF VERSTELBARE SLANG MONDSTUK BLISTER,Sproeier - Bewatering,Mondstuk,,
214791,Tuin,Overigen tuin,BEWATERING,GFG REPAIR CONNECTOR,Connector,,,
94984,Gereedschappen,Overigen gereedschappen,BLAASPISTOLEN,FERM ONDERBEKERVERFSPUIT FSG-510,Verfspuit,,,
5493,Gereedschappen,Handgereedschappen niet-elektrisch,BLINDKLINKGEREEDSCHA,MFIX BLINDKL NAGELTANG 3.0,Blindklinktang,Blindklinknageltang,,
170885,Ijzerwaren,Bevestigingsmaterialen,BLINDKLINKNAGELS,MFIX BLINDKL NAGEL RVS/RVS BK 4.0 X 8 DS,Blindklinknagel,Popnagel,,
5531,Ijzerwaren,Bevestigingsmaterialen,BLINDKLINKNAGELS,MFIX BLINDKL NAGEL RVS/RVS PBK 4.0 X 8 BL,Blindklinknagel,Popnagel,Klinknagel,Blindnagel
86378,Ijzerwaren,Bevestigingsmaterialen,BLINDKLINKNAGELS,MFIX BLINDKL NAGEL AL/ST PBK 4.8 X 12,Blindklinknagel,Popnagel,Klinknagel,Blindnagel
25431,Ijzerwaren,Bevestigingsmaterialen,BLINDKLINKNAGELS,MFIX BLINDKL NAGEL AL/ST PBK 4.0 X 16 DS,Blindklinknagel,Popnagel,Klinknagel,Blindnagel
139823,Gereedschappen,Overigen gereedschappen,BLINDKLINKNAGELS,TOPEX KLINKNAGELS ALUMINIUM 3.2X8MM 50ST,Blindklinknagel,Popnagel,Klinknagel,Blindnagel
66229,Ijzerwaren,Bevestigingsmaterialen,BLINDNAGELS,ALU BLINDNAGEL 4.8X8 PB STALEN DO,Blindklinknagel,Popnagel,Klinknagel,Blindnagel
229087,Tuin,Overigen tuin,BLOEMPOTTEN,PROS COUBI ROUND P BLOEMPOT DIA155MM DONKER ORANJE,Bloempot,,,
229133,Tuin,Overigen tuin,BLOEMPOTTEN,PROS ATENA TUINVAAS DIA395MM TERRA,Tuinvaas,,,
295359,Tuin,,BLOEMPOTTEN,BLOEMPOT MAGNOLIA 360 TAUPE,Bloempot,,,
206517,Tuin,Tuindecoratie,BLOEMPOTTEN,LAMELA BLOEMPOT ROSA OVAAL 300MM LICHT GRIJS,Bloempot,,,
289964,Tuin,Overigen tuin,BLOEMPOTTEN,PROS COUBI ORCHID BLOEMPOT DIA132MM TRANSPARANT GROEN,Bloempot,,,
244708,Tuin,Overigen tuin,BLOEMPOTTEN,PROS SPLOFY LOW BLOEMPOT DIA236MM MOKKA,Bloempot,,,
229081,Tuin,Overigen tuin,BLOEMPOTTEN,PROS COUBI ROUND P BLOEMPOT DIA155MM CREME,Bloempot,,,
229095,Tuin,Overigen tuin,BLOEMPOTTEN,PROS COUBI SQUARE P BLOEMPOT L120MM CREME,Bloempot,,,
228879,Tuin,Overigen tuin,BLOEMPOTTEN,PROS LOFLY SCHOTEL DIA230MM WIT,Schotel - Bloempot,,,
172850,Tuin,Tuindecoratie,BLOEMPOTTEN,LAMELA BLOEMPOT WERBENA 190X560 MM MOKKA,Bloempot,,,
228960,Tuin,Overigen tuin,BLOEMPOTTEN,PROS RESPANA SET BALKONPOT L885MM ANTRACIET,Bloempot,Balkonpot,,
289859,Tuin,Overigen tuin,BLOEMPOTTEN,PROS RATO CASE HIGH PLANTENBAK 600X250X460MM WIT,Plantenbak,,,
229797,Tuin,,BLOEMPOTTEN,LAMELA BLOEMPOT LILIA 140MM LIMOEN,Bloempot,,,
89347,Tuin,Tuindecoratie,BLOEMPOTTEN,BINNENPOT PALERMO,Bloempot - binnenpot,,,
289983,Tuin,Overigen tuin,BLOEMPOTTEN,PROS PLASTICA BLOEMPOT DIA110MM TERRA,Bloempot,,,
228872,Tuin,Overigen tuin,BLOEMPOTTEN,PROS LOFLY BLOEMPOT DIA390MM STEENGRIJS,Bloempot,,,
91041,Hout- en bouwmaterialen,Goten,BOCHTEN,RWA BOCHT MOF/SPIE 80 MM 90 GR GRIJS,Knie 90,Bocht 90,,
104089,Gereedschappen,Handgereedschap elektrisch,BOORMACHINE,SKIL SCHROEFBOORMACHINE DRAADLOOS 14.4V 1.2AH,Schroefboormachine - accu,,,
23528,Ijzerwaren,Bevestigingsmaterialen,BOUTEN,ZESKANTBOUT DIN 931 8.8 EV M12 X 120,Zeshoekige bout,Zeskantbout,,
38455,Ijzerwaren,Bevestigingsmaterialen,BOUTEN,CILINDERKOPBOUT DIN 912 A4 M8 X 20,Inbusbout,Cilinderkopbout,,
26075,Ijzerwaren,Bevestigingsmaterialen,BOUTEN,ZESKANTBOUT DIN 931 8.8 EV M6 X 120,Zeshoekige bout,Zeskantbout,,
51812,Ijzerwaren,Bevestigingsmaterialen,BOUTEN,KEILBOUT TYPE A 116VZ M8 X 160 X 60,Keilbout,,,
201820,Elektra,Overigen elektra,BS ARTIKELEN,KABELHASPEL COMFORT H05VV-F 3G1.5 3M ZWART,Kabelhaspel,,,
21198,Gereedschappen,Handgereedschappen niet-elektrisch,BUIGVEREN,IDEAAL BUIGVEER 5/8X100CM + BINNENKABEL,Buigveer,,,
114569,"Ijzer, staal en non-ferro",Buizen,BUIS,"NAADLOZE BUIS 2"" 60.3 X 3.9 MM API 5L GR B/ASTM A/SA106 L=6",Buis - Staal,,,
71355,Verlichting,Buitenverlichting,BUITENVERLICHTING,RANEX CLASSICO WANDLAMP HANG 60W E27 ALU ZW,Wandlamp,,,
18300,"Ijzer, staal en non-ferro",Buizen,BUIZEN STAAL,"BUIS ROND GELAST 3/4"" 26.9X2.65MM VERZ L=6M",Buis - Staal,,,
7264,"Ijzer, staal en non-ferro",Buizen,BUIZEN STAAL,BUIS VIERKANT GELAST 20X20X2MM ZWART L=6M DIN2395,Profiel vierkant - Staal,Vierkante buis,Buis vierkant,
67099,"Ijzer, staal en non-ferro",Buizen,BUIZEN STAAL,BUIS RECHTHOEK GELAST 100X80X4MM VERZ L=6M DIN2395,Profiel rechthoek - Staal,Rechthoekige buis,Buis rechthoek,
145021,Elektra,Installatiematerialen,BULLEYE,BULLEYE OVAAL 60W E27 PLASTIC FRAME BRUIN,Wand,,,
36691,Elektra,Installatiematerialen,CADDY,ERICO CADDY KLEM TYPE M8TI24,Wand en plafondlamp,Bull eye,Bulleye,
81236,Stationary,Overigen stationary,CARTON,HZ FOTOCARTON 4A GRIJS 25 VEL,Klem,,,
78506,Elektra,Overigen elektra,CEE,CEE OPB WCD 5P 63A 415V 6H IP67 POWER TWIST,Wandcontactdoos,WCD,,
110052,Elektra,Overigen elektra,CEE,CEE CONTRASTEKKER 3P 16A 6H IP44 SHARK,CEE stekker,,,
39866,Hout- en bouwmaterialen,Overigen bouwmaterialen,CEMENTKLEURSTOFFEN,CEMENTKLEURSTOF ZWART 1 KG,Cement - Kleurstof,,,
119681,Ijzerwaren,Hang- en sluitwerk,CILINDERS,NEMEF 2566/1 CIL SLUITING 1SL BLIS,Oplegslot,,,
30659,Ijzerwaren,Hang- en sluitwerk,CILINDERS,NEMEF 105/7 PROFIELCIL 3SL,Cilinderslot,Profielcilinder,,
146990,Ijzerwaren,Hang- en sluitwerk,CILINDERS,NEMEF 132/9 VEILIGHEID CILINDER 3SL VERSCH SLUITEND,Cilinderslot,Profielcilinder,,
3240,Sanitair,Badkameraccessoires,CLOSETBORSTELS,BRABANTIA TOILETBORSTEL MET HOUDER CHR,Toiletborstel,WC borstel,WC garnituur,Closetborstel
57688,Huishoud,Schoonmaakattributen,CLOSETROLHOUDER,VERO WANDGARNITUUR WIT,Toiletborstel,WC borstel,WC garnituur,Closetborstel
81775,Sanitair,Wastafels en toiletten,CLOSETZITTINGEN,PRO CLOSETZITTING M/DEKSEL WIT,Toiletborstelhouder,WC borstel,WC garnituur,Closetborstel
39908,(DHZ) Meubelen,Meubelen,COMMODES,HM 0984 WALLABY COMMODE 2D/2L BEUKEN,Commode,,,
278425,Keukens,Aanrechtbladen,COUNTERTOPS,QUARTZ STONE COUNTERTOP 1300X2800X20MM CARRARA HF1-5000,Werkblad,Aaarechtblad,,
